fishID;age;size
9589;1;55.0134875
9589;2;85.0177325
9589;3;108.29171
9589;4;122.85878
9589;5;135.5083175
9645;1;55.539065
9645;2;89.406065
9645;3;104.80064
9645;4;118.9741925
9645;5;132.749435
9741;1;58.0423475
9741;2;99.7903475
9741;3;119.174945
9741;4;129.80897
9741;5;138.5030975
9741;6;147.589145
9748;1;55.3116875
9748;2;84.9570275
9748;3;99.56723
9748;4;109.2155975
9748;5;115.5614
9748;6;120.8123825
9751;1;57.82988
9751;2;97.2982475
9751;3;114.0560225
9751;4;124.74809
9751;5;134.61851
9755;1;44.5147175
9755;2;89.0988125
9755;3;104.88584
9755;4;115.541165
9755;5;126.9616925
9766;1;62.49032
9766;2;99.881405
9766;3;120.3618875
9766;4;131.0172125
9766;5;139.3657475
9780;1;50.78171
9780;2;95.9456975
9780;3;118.7761025
9780;4;130.2163325
9780;5;140.479205
9780;6;147.9677525
9782;1;54.761615
9782;2;101.9959625
9782;3;120.497675
9782;4;133.3112225
9782;5;143.908505
9786;1;67.0543775
9786;2;96.0021425
9786;3;111.82325
9786;4;122.842805
9786;5;131.1450125
9804;1;43.789985
9804;2;101.6391875
9804;3;121.4151725
9804;4;132.0417425
9804;5;140.34395
9804;6;148.25477
9804;7;154.956815
9806;1;54.0848075
9806;2;90.2862875
9806;3;111.208745
9806;4;127.81316
9806;5;138.04568
10007;1;67.3808
10007;2;106.7394725
10007;3;128.8350275
10007;4;146.1923975
10007;5;160.4964125
10034;1;56.32823
10034;2;92.9381375
10034;3;112.226885
10034;4;126.02396
10034;5;138.38222
10239;1;40.38731
10239;2;84.8100575
10239;3;106.6308425
10239;4;121.9998575
10239;5;136.9556525
10240;1;38.55338
10240;2;86.40809
10240;3;106.4955875
10240;4;122.282615
10240;5;133.3090925
10262;1;60.29003
10262;2;97.1470175
10262;3;117.7068425
10262;4;132.79097
10262;5;143.09165
10267;1;55.2126425
10267;2;95.7571925
10267;3;115.43573
10267;4;131.2227575
10267;5;143.8717625
10267;6;156.298715
10267;7;169.2805325
10269;1;36.82808
10269;2;81.08309
10269;3;98.863265
10269;4;117.4650875
10269;5;130.6657625
10271;1;41.953925
10271;2;87.2414525
10271;3;111.3647675
10271;4;125.9318375
10271;5;134.9843375
10272;1;46.73045
10272;2;83.859545
10272;3;104.7777425
10272;4;118.3660775
10272;5;130.1992925
10514;1;64.33703
10514;2;95.037785
10514;3;116.348435
10514;4;130.915505
10514;5;140.36951
10581;1;60.56906
10581;2;102.38735
10581;3;121.42529
10581;4;139.15328
10581;5;154.1916125
10852;1;41.50769
10852;2;89.012015
10852;3;113.0708975
10852;4;129.99428
10852;5;141.407885
10852;6;152.09942
10860;1;67.360565
10860;2;109.911575
10860;3;129.20831
10860;4;142.6704425
10860;5;152.532875
10877;1;50.071355
10877;2;92.594675
10877;3;110.2699475
10877;4;119.398595
10877;5;127.2801275
10877;6;134.7574925
10932;1;57.4864175
10932;2;94.121885
10932;3;113.8361
10932;4;123.281585
10932;5;130.0182425
10932;6;135.1494125
10960;1;60.4796
10960;2;102.2643425
10960;3;122.04086
10960;4;136.602605
10960;5;148.0226
10960;6;158.7146675
10961;1;63.31676
10961;2;102.14453
10961;3;121.4449925
10961;4;132.408635
10961;5;140.5127525
10961;6;146.1061325
10964;1;55.242995
10964;2;104.14673
10964;3;122.68199
10964;4;137.6425775
10964;5;146.381435
10970;1;45.5307275
10970;2;92.7656075
10970;3;112.054355
10970;4;127.0149425
10970;5;137.04884
10972;1;39.7158275
10972;2;77.8449575
10972;3;104.28731
10972;4;129.2344025
10972;5;148.9166675
10988;1;78.0185525
10988;2;100.9298975
10988;3;116.8484525
10988;4;131.74727
10988;5;145.11089
10988;6;155.7081725
10990;1;46.111685
10990;2;84.296195
10990;3;106.7432
10990;4;122.5052
10990;5;137.1995375
11017;1;60.4151675
11017;2;102.592895
11017;3;122.6803925
11017;4;134.8874225
11017;5;143.2359575
11018;1;49.13522
11018;2;97.77377
11018;3;123.7517825
11018;4;139.1058875
11018;5;150.91301
11022;1;41.7084425
11022;2;74.0024375
11022;3;91.6036925
11022;4;104.6446175
11022;5;115.60826
11022;6;120.8592425
11023;1;47.2677425
11023;2;83.1017975
11023;3;107.9088425
11023;4;127.19759
11023;5;141.7651925
11023;6;155.59049
11023;7;170.2954775
11024;1;43.9587875
11024;2;85.7951825
11024;3;106.6691825
11024;4;122.8247
11024;5;141.7811675
11025;1;52.99691
11025;2;91.5664175
11025;3;115.4447825
11025;4;128.8318325
11025;5;139.8588425
11025;6;148.2723425
